taxid,group_id,disposition,description,penalty,type
941388,1,GUILTY,WRONGFULLY OPERATED A MOTOR VEHICLE WHILE HIS ABILITY WAS IMPAIRED BY THE CONSUMPTION OF ALCOHOL.,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (31 day(s) ), VACATION DAYS (9 day(s) )",charge
941388,1,GUILTY,REFUSED TO SUBMIT TO A BREATH TEST.,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (31 day(s) ), VACATION DAYS (9 day(s) )",charge
941388,1,GUILTY,CONSUMED AN INTOXICANT TO THE EXTENT THAT SAID OFFICER WAS UNFIT FOR DUTY.,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (31 day(s) ), VACATION DAYS (9 day(s) )",charge
941388,1,GUILTY,FAILED TO SAFEGUARD HIS 2014 RESTRICTED NYPD PARKING PLACARD.,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (31 day(s) ), VACATION DAYS (9 day(s) )",charge
953658,1,PLEADED GUILTY,Said Police Officer engaged in off-duty employment without permission.,"DISMISSAL PROBATION (12 month(s) ), PRE-TRIAL SUSPENSION DAYS (12 day(s) ), VACATION DAYS (58 day(s) )",charge
953658,1,GUILTY,Said Police Officer failed to take police action.,"DISMISSAL PROBATION (12 month(s) ), PRE-TRIAL SUSPENSION DAYS (12 day(s) ), VACATION DAYS (58 day(s) )",charge
953658,1,PLEADED GUILTY,Said Police Officer made computer inquiries unrelated to official Department business.,"DISMISSAL PROBATION (12 month(s) ), PRE-TRIAL SUSPENSION DAYS (12 day(s) ), VACATION DAYS (58 day(s) )",charge
953658,1,GUILTY,Said Police Officer made misleading statements during an official Department interview.,"DISMISSAL PROBATION (12 month(s) ), PRE-TRIAL SUSPENSION DAYS (12 day(s) ), VACATION DAYS (58 day(s) )",charge
953658,1,PLEADED GUILTY,Said Police Officer associated with a criminal.,"DISMISSAL PROBATION (12 month(s) ), PRE-TRIAL SUSPENSION DAYS (12 day(s) ), VACATION DAYS (58 day(s) )",charge
953658,2,PLEADED GUILTY,Failed to conduct an investigation.,"DISMISSAL PROBATION (12 month(s) ), PRE-TRIAL SUSPENSION DAYS (12 day(s) ), VACATION DAYS (58 day(s) )",charge
964897,1,PLEADED GUILTY,Failed to follow DARP procedures.,VACATION DAYS (20 day(s) ),charge
964897,1,PLEADED GUILTY,Incomplete and inaccurate entries in Department records.,VACATION DAYS (20 day(s) ),charge
964897,1,PLEADED GUILTY,Failed to take police action.,VACATION DAYS (20 day(s) ),charge
964897,1,PLEADED GUILTY,Failed to notify IAB.,VACATION DAYS (20 day(s) ),charge
938023,1,GUILTY,"WHILE ON-DUTY, FAILED TO PREPARE A VEHICLE PURSUIT REPORT IMMEDIATELY AFTER THE PURSUIT",VACATION DAYS (15 day(s) ),charge
938023,1,GUILTY,"WHILE ON-DUTY, FAILED TO NOTIFY RADIO DISPATCHER AT START OF PURSUIT AND TRANSMIT THE REQUIRED DATA.",VACATION DAYS (15 day(s) ),charge
938023,1,GUILTY,"WHILE ON-DUTY, FAILED TO TIMELY TERMINATE A VEHICLE PURSUIT",VACATION DAYS (15 day(s) ),charge
938023,1,GUILTY,"WHILE ON-DUTY, FAILED TO REMAIN AT THE SCENE OF AN ACCIDENT INVOLVING AN INJURED CIVILIAN",VACATION DAYS (15 day(s) ),charge
938023,1,GUILTY,"WHILE ON-DUTY, FAILED TO MAKE ENTRIES INTO HIS ACTIVITY LOG PERTAINING TO A PURSUIT",VACATION DAYS (15 day(s) ),charge
944349,1,GUILTY,FAILED TO REQUEST THE RESPONSE OF A PATROL SUPERVISOR AT A MOTOR VEHICLE ACCIDENT INVOLVING A DEPARTMENT VEHICLE.,VACATION DAYS (15 day(s) ),charge
944349,1,GUILTY,FAILED TO PREPARE REPORT OF MOTOR VEHICLE ACCIDENT.,VACATION DAYS (15 day(s) ),charge
944349,1,GUILTY,FAILED TO MAINTAIN ACTIVITY LOG.,VACATION DAYS (15 day(s) ),charge
947981,1,PLEADED GUILTY,Wrongfully used physical force.,"SUSPENDED W/O PAY (10 day(s) ), VACATION DAYS (20 day(s) )",charge
947981,1,PLEADED GUILTY,"Failed to make proper notifications.
Failed to prepare required reports.
Failed to make required entries in Department logs.","SUSPENDED W/O PAY (10 day(s) ), VACATION DAYS (20 day(s) )",charge
947981,1,PLEADED GUILTY,Wrongfully deactivated body-worn camera.,"SUSPENDED W/O PAY (10 day(s) ), VACATION DAYS (20 day(s) )",charge
950049,1,PLEADED GUILTY,Wrongfully threatened to use force.,VACATION DAYS (18 day(s) ),charge
950049,1,PLEADED GUILTY,Wrongfully used force.,VACATION DAYS (18 day(s) ),charge
950049,1,PLEADED GUILTY,Discourtesy.,VACATION DAYS (18 day(s) ),charge
950049,1,PLEADED GUILTY,Discourtesy.,VACATION DAYS (18 day(s) ),charge
950049,1,PLEADED GUILTY,Wrongfully used force.,VACATION DAYS (18 day(s) ),charge
950049,1,PLEADED GUILTY,Discourtesy.,VACATION DAYS (18 day(s) ),charge
941058,1,GUILTY,"WHILE OFF-DUTY, POLICE OFFICER ENGAGED IN A VERBAL ARGUMENT AND PHYSICAL ALTERCATION WITH A PERSON KNOWN TO THE DEPARTMENT.",PRE-TRIAL SUSPENSION DAYS (32 day(s) ),charge
918730,1,GUILTY,"WHILE ON-DUTY, FAILED TO SAFEGUARD THE PROPERTY OF AN ARRESTEE BY PERMITTING THE RELEASE OF THE PROPERTY WITHOUT PREPARING AN ITEMIZED RECORD OF THE PROPERTY.",VACATION DAYS (30 day(s) ),charge
918730,1,GUILTY,"WHILE ON-DUTY, FAILED TO MAKE REQUIRED ENTRIES IN HIS ACTIVITY LOG.",VACATION DAYS (30 day(s) ),charge
918730,1,GUILTY,"WHILE ON-DUTY, FAILED TO NOTIFY THE INTERNAL AFFAIRS BUREAU OF AN ALLEGATION OF MISCONDUCT AGAINST ANOTHER MEMBER OF THE DEPARTMENT.",VACATION DAYS (30 day(s) ),charge
918730,1,GUILTY,"WHILE ON-DUTY, MADE INACCURATE STATEMENTS DURING AN OFFICIAL DEPARTMENT INTERVIEW.",VACATION DAYS (30 day(s) ),charge
939904,1,GUILTY,"FAILED TO ATTEMPT TO RETAIN AN INDIVIDUAL ON SCENE WHILE CONDUCTING, AN INVESTIGATION, OR ACQUIRING THE INDIVIDUALS PEDIGREE INFORMATION.",VACATION DAYS (15 day(s) ),charge
939904,1,GUILTY,WRONGFULLY MADE FALSE ENTRIES IN DEPARTMENT RECORDS.,VACATION DAYS (15 day(s) ),charge
939904,1,GUILTY,WRONGFULLY MADE FALSE ENTRIES IN DEPARTMENT RECORDS.,VACATION DAYS (15 day(s) ),charge
938029,1,GUILTY,"WHILE ON-DUTY, FAILED TO TAKE A COMPLAINT REPORT",VACATION DAYS (10 day(s) ),charge
950051,1,GUILTY,FAILED AND NEGLECTED TO PROPERLY SAFEGUARD HER FIREARM.,VACATION DAYS (10 day(s) ),charge
938030,1,GUILTY,ENGAGED IN UNAUTHORITIZED OFF DUTY EMPLOYMENT AT PROHIBITED LOCATION.,VACATION DAYS (20 day(s) ),charge
954525,1,GUILTY,"WHILE  OFF-DUTY, WAS UNFIT FOR DUTY DUE TO HIS CONSUMPTION OF ALCOHOL.","COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, VACATION DAYS (25 day(s) )",charge
954525,1,GUILTY,"WHILE OFF-DUTY, WRONGFULLY ENGAGED IN A PHYSICAL ALTERCATION WITH ANOTHER INDIVIDUAL","COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, VACATION DAYS (25 day(s) )",charge
946665,1,GUILTY,"WHILE OFF-DUTY,  SAID POLICE OFFICER ENGAGED IN A PHYSICAL ALTERCATION WITH A PERSON KNOWN TO THE DEPARTMENT","COUNSELING, PRE-TRIAL SUSPENSION DAYS (34 day(s) )",charge
953671,1,PLEADED GUILTY,Failed to take police action/render police services.,"SUSPENDED W/O PAY (5 day(s) ), VACATION DAYS (30 day(s) )",charge
953671,1,PLEADED GUILTY,Failed to activate their body-worn camera.,"SUSPENDED W/O PAY (5 day(s) ), VACATION DAYS (30 day(s) )",charge
953671,2,PLEADED GUILTY,Wrongfully damaging a person's property.,VACATION DAYS (11 day(s) ),charge
953671,2,PLEADED GUILTY,Wrongfully made discourteous gesture to an individual known to the Department.,VACATION DAYS (11 day(s) ),charge
953671,2,PLEADED GUILTY,Wrongfully used physical force.,VACATION DAYS (11 day(s) ),charge
960216,1,GUILTY,"while off-duty, sent inappropriate and harassing text messages to a person known to the Department.","COUNSELING, DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (40 day(s) )",charge
964916,1,PLEADED GUILTY,Failed to make proper notifications.,VACATION DAYS (25 day(s) ),charge
964916,1,PLEADED GUILTY,Improper vehicle pursuit.,VACATION DAYS (25 day(s) ),charge
932308,1,GUILTY,FAILED TO COMPLETE A POLICE ACCIDENT REPORT AFTER HAVING RESPONDED TO THE SCENE OF A MOTOR VEHICLE ACCIDENT.,VACATION DAYS (15 day(s) ),charge
932308,1,GUILTY,FAILED TO ACCEPT FOUND PROPERTY PRESENTED TO SAID OFFICER AND COMPLETE AN ACCIDENT INFORMATION EXCHANGE / ACKNOWLEDGMENT OF FOUND PROPERTY FORM.,VACATION DAYS (15 day(s) ),charge
938046,1,GUILTY,"WHILE ON-DUTY, FRISKED A PERSON KNOWN TO THE DEPARTMENT WITHOUT SUFFICIENT LEGAL AUTHORITY.",VACATION DAYS (2 day(s) ),charge
932310,1,GUILTY,"WHILE ON-DUTY, FAILED TO SAFEGUARD HIS FIREARM",PRE-TRIAL SUSPENSION DAYS (20 day(s) ),charge
923545,1,GUILTY,"WHILE OFF-DUTY, DETECTIVE DISPLAYED HIS DUPLICATED DEPARTMENT ISSUED RESTRICTED PARKING PERMIT.","PRE-TRIAL SUSPENSION DAYS (14 day(s) ), VACATION DAYS (6 day(s) )",charge
950064,1,GUILTY,WHILE ON-DUTY WRONGFULLY FAILED TO SAFEGUARD A HOSPITALIZED PRISONER RESULTING IN THE ESCAPE OF SAID PRISONER.,"PRE-TRIAL SUSPENSION DAYS (10 day(s) ), VACATION DAYS (10 day(s) )",charge
934475,1,GUILTY,"WHILE ON-DUTY, DISCHARGED HIS SERVICE FIREARM OUTSIDE OF DEPARTMENT GUIDELINES.",VACATION DAYS (20 day(s) ),charge
968271,1,PLEADED GUILTY,Failed to take police action/render police services.,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (45 day(s) )",charge
968271,1,PLEADED GUILTY,Failed to remain alert while on post.,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (45 day(s) )",charge
968271,1,PLEADED GUILTY,Failed to make proper notifications.,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (45 day(s) )",charge
925004,1,GUILTY,"WHILE OFF-DUTY, WRONGFULLY OPERATED A MOTOR VEHICLE WHILE UNDER THE INFLUENCE OF AN INTOXICANT.","COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (10 day(s) )",charge
925004,1,GUILTY,"WHILE OFF -DUTY, WRONGFULLY OPERATED A MOTOR VEHICLE WHILE HER ABILITY WAS IMPAIRED BY THE CONSUMPTION OF ALCOHOL.","COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (10 day(s) )",charge
925004,1,GUILTY,"WHILE OFF-DUTY, WRONGFULLY REFUSED TO SUBMIT TO A BREATHALYZER TEST.","COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (10 day(s) )",charge
925004,1,GUILTY,"WHILE OFF-DUTY, WRONGFULLY CONSUMED AN INTOXICANT TO THE EXTENT THAT SAID POLICE OFFICER WAS UNFIT FOR DUTY.","COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (10 day(s) )",charge
963872,1,PLEADED GUILTY,"Failure to safeguard firearm while off-duty, not resulting in its loss.","COUNSELING, DISMISSAL PROBATION (12 month(s) ), PRE-TRIAL SUSPENSION DAYS (30 day(s) )",charge
950068,1,GUILTY,FAILED AND NEGLECTED TO PROPERLY SAFEGUARD HIS OFF-DUTY FIREARM.,VACATION DAYS (10 day(s) ),charge
920019,1,GUILTY,"WRONGFULLY MADE MULTIPLE TELEPHONE CALLS, SENT MULTIPLE TEXT MESSAGES AND GIFTS TO HIS FORMER GIRLFRIEND AFTER SHE REPEATEDLY DIRECTED HIM TO CEASE ALL CONTACT WITH HER.","COUNSELING, VACATION DAYS (30 day(s) )",charge
920019,2,GUILTY,FAILED TO COMPLY WITH A LAWFUL ORDER GIVEN TO SUBJECT BY RANKING MEMBERS TO CEASE CONTACT WITH A PERSON KNOWN TO THE DEPARTMENT.,"COUNSELING, VACATION DAYS (30 day(s) )",charge
920019,2,GUILTY,WRONGFULLY SENT MULTIPLE TEXT MESSAGES TO PERSON KNOWN TO THE DEPARTMENT AFTER REPEATEDLY DIRECTED TO CEASE ALL CONTACT.,"COUNSELING, VACATION DAYS (30 day(s) )",charge
936196,1,GUILTY,"WHILE OFF DUTY, DID USE FORCE AGAINST AN INDIVIDUAL KNOWN TO THE DEPARTMENT WITHOUT POLICE NECESSITY.","COUNSELING, VACATION DAYS (20 day(s) )",charge
936196,1,GUILTY,WHILE OFF DUTY FAILED TO REMAIN AT THE SCENE OF AN INCIDENT AND FAILED TO REQUEST THE RESPONSE OF THE PATROL SUPERVISOR.,"COUNSELING, VACATION DAYS (20 day(s) )",charge
948661,1,GUILTY,Wrongfully un-holstered a firearm while on duty.,"PRE-TRIAL SUSPENSION DAYS (24 day(s) ), VACATION DAYS (6 day(s) )",charge
967772,1,GUILTY,Violated patrol rules.,VACATION DAYS (3 day(s) ),charge
967772,1,GUILTY,Violated patrol rules.,VACATION DAYS (3 day(s) ),charge
936201,1,GUILTY,"WHILE ON-DUTY, FAILED TO FOLLOW PROPER DIRECTED ACCIDENT RESPONSE PROGRAM PROCEDURE.",VACATION DAYS (25 day(s) ),charge
936201,1,GUILTY,"WHILE ON-DUTY, WRONGFULLY FAILED TO PROPERLY INVESTIGATE A DEPARTMENT VEHICLE COLLISION.",VACATION DAYS (25 day(s) ),charge
936201,1,GUILTY,"WHILE ON-DUTY, WRONGFULLY FAILED TO CONDUCT A PROPER INVESTIGATION OF A COLLISION INVOLVING A SUSPECTED INTOXICATED DRIVER.",VACATION DAYS (25 day(s) ),charge
936201,1,GUILTY,"WHILE ON-DUTY, HAVING BECOME AWARE OF A ALLEGATION OF MISCONDUCT, WRONGFULLY FAILED TO REPORT SAID ALLEGATION TO INTERNAL AFFAIRS BUREAU.",VACATION DAYS (25 day(s) ),charge
936201,1,GUILTY,"WHILE ON-DUTY, WRONGFULLY FAILED AND NEGLECTED TO MAKE ACTIVIY LOG ENTRIES AS REQUIRED.",VACATION DAYS (25 day(s) ),charge
936201,1,GUILTY,"WHILE ON-DUTY, STOPPED AND DETAINED A PERSON KNOWN TO THE DEPARTMENT WITHOUT SUFFICIENT LEGAL AUTHORITY.",VACATION DAYS (25 day(s) ),charge
950075,1,GUILTY,OFFICER USED FORCE WITHOUT POLICE NECESSITY.,VACATION DAYS (10 day(s) ),charge
967774,1,GUILTY,Wrongful entry of a premises.,VACATION DAYS (23 day(s) ),charge
967774,1,GUILTY,Wrongfully threatened to damage property.,VACATION DAYS (23 day(s) ),charge
967774,1,GUILTY,Wrongful search of a premises.,VACATION DAYS (23 day(s) ),charge
967774,1,GUILTY,Violated patrol rules.,VACATION DAYS (23 day(s) ),charge
967774,2,GUILTY,Wrongfully discourteous to an individual known to the Department.,VACATION DAYS (23 day(s) ),charge
941421,1,GUILTY,WAS OUT OF RESIDENCE WHILE ON SICK REPORT WITHOUT THE PERMISSION OF THE MEDICAL DIVISION SICK DESK SUPERVISOR OR DISTRICT SURGEON.,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (30 day(s) )",charge
941421,1,GUILTY,MADE FALSE STATEMENTS DURING AN OFFICIAL DEPARTMENT INTERVIEW.,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (30 day(s) )",charge
938064,1,GUILTY,"WRONGFULLY CONDUCTED VARIOUS UNAUTHORIZED QUERIES ON DEPARTMENT COMPUTER SYSTEMS, UNRELATED TO OFFICIAL DEPARTMENT BUSINESS.",VACATION DAYS (10 day(s) ),charge
945511,1,GUILTY,"WHILE OFF-DUTY, ENGAGED IN A PHYSICAL AND VERBAL ALTERCATION WITH SEVERAL INDIVIDUALS KNOWN TO THE DEPARTMENT.",VACATION DAYS (15 day(s) ),charge
945511,1,GUILTY,"WHILE OFF-DUTY, FAILED TO REMAIN AT THE SCENE OF AN OFF-DUTY PHYSICAL AND VERBAL ALTERCATION WITH PARTIES KNOWN TO THE DEPARTMENT.",VACATION DAYS (15 day(s) ),charge
945511,1,GUILTY,"WHILE OFF-DUTY, HAVING BEEN INVOLVED IN A POLICE INCIDENT, DID THEREAFTER FAIL TO PROMPTLY REPORT THE FACTS TO HIS COMMANDING OFFICER, AS REQUIRED.",VACATION DAYS (15 day(s) ),charge
948181,1,PLEADED GUILTY,Made Inappropriate comments,"TRAINING, VACATION DAYS (20 day(s) )",charge
948181,1,PLEADED GUILTY,Made Inappropriate comments,"TRAINING, VACATION DAYS (20 day(s) )",charge
948181,1,PLEADED GUILTY,Made Inappropriate comments,"TRAINING, VACATION DAYS (20 day(s) )",charge
952470,1,GUILTY,"WHILE ON-DUTY, FAILED TO COMPLY WITH THE DIRECTION GIVEN BY A SUPERVISOR.","DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (25 day(s) )",charge
952470,1,GUILTY,POSTED A COMMENT TO THE NYPD PAGE THAT WAS IN VIOLATION OF THE DEPARTMENT'S SOCIAL MEDIA POLICY.,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (25 day(s) )",charge
952470,1,GUILTY,FAILED TO ANSWER RADIO TRANSMISSIONS ON FOUR (4) OCCASIONS.,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (25 day(s) )",charge
952470,1,GUILTY,"WHILE ON-DUTY, WAS OFF POST.","DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (25 day(s) )",charge
952470,1,GUILTY,FAILED TO COMPLY WITH THE DIRECTION OF HER SUPERVISOR.,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (25 day(s) )",charge
952470,1,GUILTY,WAS DISCOURTEOUS TO A SUPERVISOR.,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (25 day(s) )",charge
949842,1,PLEADED GUILTY,Operated a motor vehicle while their ability was impaired.,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, SUSPENDED W/O PAY (30 day(s) ), VACATION DAYS (30 day(s) )",charge
949842,1,PLEADED GUILTY,Refused to submit to a breathalyzer test.,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, SUSPENDED W/O PAY (30 day(s) ), VACATION DAYS (30 day(s) )",charge
949842,1,PLEADED GUILTY,Unfit for duty.,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, SUSPENDED W/O PAY (30 day(s) ), VACATION DAYS (30 day(s) )",charge
949842,1,PLEADED GUILTY,Operated a motor vehicle while their ability was impaired.,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, SUSPENDED W/O PAY (30 day(s) ), VACATION DAYS (30 day(s) )",charge
948676,1,GUILTY,"while on-duty, failed to designate the proper crime committed in a complaint report.",VACATION DAYS (15 day(s) ),charge
948676,1,GUILTY,"while on-duty, wrongfully caused innacurate entries to be made in Department records.",VACATION DAYS (15 day(s) ),charge
946667,1,GUILTY,"WHILE ON-DUTY, DID FAIL TO SUPERVISE MEMBERS OF THE SERVICE UNDER HIS SUPERVISION AND FAILED TO INSPECT THE ARREST PROCESSING AREA OF THE PRISONERS.",VACATION DAYS (10 day(s) ),charge
946667,1,GUILTY,"WHILE ON-DUTY, DID FAIL TO DESIGNATE A MEMBER OF THE SERVICE UNDER HIS SUPERVISION TO INSPECT AND CHECK THE CONDITION OF THE PRISONERS EVERY THIRTY MINUTES TO ENSURE THAT NO PRISONERS WERE LEFT UNATTENDED.",VACATION DAYS (10 day(s) ),charge
968279,1,PLEADED GUILTY,Failed to safeguard firearm.,SUSPENDED W/O PAY (20 day(s) ),charge
936213,1,PLEADED GUILTY,FAILED TO REVIEW AN OFFICIAL COURT DOCUMENT THAT WAS SUBSEQUENTLY FILED IN COURT.,"DISMISSAL PROBATION (12 month(s) ), PRE-TRIAL SUSPENSION DAYS (30 day(s) ), SUSPENDED W/O PAY (15 day(s) ), VACATION DAYS (30 day(s) )",charge
936213,1,PLEADED GUILTY,WRONGFULLY SIGNED A SUPPORTING DEPOSITION INDICATING HE HAD MADE OBSERVATIONS WHEN IN FACT NO SUCH OBSERVATIONS WERE MADE.,"DISMISSAL PROBATION (12 month(s) ), PRE-TRIAL SUSPENSION DAYS (30 day(s) ), SUSPENDED W/O PAY (15 day(s) ), VACATION DAYS (30 day(s) )",charge
936213,1,PLEADED GUILTY,FAILED TO MAINTAIN AN ACCURATE ACTIVITY LOG.,"DISMISSAL PROBATION (12 month(s) ), PRE-TRIAL SUSPENSION DAYS (30 day(s) ), SUSPENDED W/O PAY (15 day(s) ), VACATION DAYS (30 day(s) )",charge
936213,2,GUILTY,FAILED TO INFORM THE DEPARTMENT THAT HE WAS THE SUBJECT OF AN INVESTIGATION.,"DISMISSAL PROBATION (12 month(s) ), PRE-TRIAL SUSPENSION DAYS (30 day(s) ), SUSPENDED W/O PAY (15 day(s) ), VACATION DAYS (30 day(s) )",charge
936213,3,PLEADED GUILTY,FAILED TO PREPARE DEPARTMENTAL PAPERWORK FOR CONFISCATED PROPERTY.,"DISMISSAL PROBATION (12 month(s) ), PRE-TRIAL SUSPENSION DAYS (30 day(s) ), SUSPENDED W/O PAY (15 day(s) ), VACATION DAYS (30 day(s) )",charge
936213,3,PLEADED GUILTY,FAILED TO DOCUMENT ALL ITEMS CONFISCATED AS IS DEPARTMENTAL PROCEDURE.,"DISMISSAL PROBATION (12 month(s) ), PRE-TRIAL SUSPENSION DAYS (30 day(s) ), SUSPENDED W/O PAY (15 day(s) ), VACATION DAYS (30 day(s) )",charge
936213,4,PLEADED GUILTY,FAILED TO APPEAR FOR SCHEDULED FIRST PLATOON ROLL CALL.,"DISMISSAL PROBATION (12 month(s) ), PRE-TRIAL SUSPENSION DAYS (30 day(s) ), SUSPENDED W/O PAY (15 day(s) ), VACATION DAYS (30 day(s) )",charge
936213,4,PLEADED GUILTY,WAS ABSENT FROM ASSIGNMENT FOR A PERIOD OF ONE HOUR.,"DISMISSAL PROBATION (12 month(s) ), PRE-TRIAL SUSPENSION DAYS (30 day(s) ), SUSPENDED W/O PAY (15 day(s) ), VACATION DAYS (30 day(s) )",charge
936213,4,PLEADED GUILTY,FAILED TO MAINTAIN ACTIVITY LOG.,"DISMISSAL PROBATION (12 month(s) ), PRE-TRIAL SUSPENSION DAYS (30 day(s) ), SUSPENDED W/O PAY (15 day(s) ), VACATION DAYS (30 day(s) )",charge
936213,4,PLEADED GUILTY,FAILED TO APPEAR FOR COURT IN A TIMELY MANNER.,"DISMISSAL PROBATION (12 month(s) ), PRE-TRIAL SUSPENSION DAYS (30 day(s) ), SUSPENDED W/O PAY (15 day(s) ), VACATION DAYS (30 day(s) )",charge
936213,4,PLEADED GUILTY,DISPLAYED PARKING PERMIT IN AN UNAUTHORIZED VEHICLE.,"DISMISSAL PROBATION (12 month(s) ), PRE-TRIAL SUSPENSION DAYS (30 day(s) ), SUSPENDED W/O PAY (15 day(s) ), VACATION DAYS (30 day(s) )",charge
936213,4,PLEADED GUILTY,FAILED TO FOLLOW DEPARTMENTAL PROCEDURE IN ROUTINE TRAFFIC STOP.,"DISMISSAL PROBATION (12 month(s) ), PRE-TRIAL SUSPENSION DAYS (30 day(s) ), SUSPENDED W/O PAY (15 day(s) ), VACATION DAYS (30 day(s) )",charge
936213,4,PLEADED GUILTY,FAILED TO SIGN OUT AT END OF TOUR.,"DISMISSAL PROBATION (12 month(s) ), PRE-TRIAL SUSPENSION DAYS (30 day(s) ), SUSPENDED W/O PAY (15 day(s) ), VACATION DAYS (30 day(s) )",charge
960257,1,GUILTY,REQUESTED THE ASSISTANCE OF ANOTHER MEMBER OF SERVICE TO PREVENT THE ADJUDICATION OF A SUMMONS.,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (30 day(s) )",charge
960257,1,GUILTY,MADE MISLEADING STATEMENTS DURING AN OFFICIAL DEPARTMENT INTERVIEW.,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (30 day(s) )",charge
946787,1,GUILTY,DID FAIL AND NEGLECT TO ENSURE THAT HIS SUBORDINATES PREPARE A COMPLAINT REPORT WORKSHEET,VACATION DAYS (20 day(s) ),charge
946787,2,GUILTY,"ON MULTIPLE OCCASIONS WRONGFULLY MADE DISCOURTEOUS, DISPARAGING, OR OTHERWISE INAPPROPRIATE OR HARASSING REMARKS TO ANOTHER MEMBER OF SERVICE.","COUNSELING, VACATION DAYS (30 day(s) )",charge
956440,1,GUILTY,"FAILED AND NEGLECTED TO PROPERLY SAFEGUARD A HOSPITALIZED PRISONER, RESULTING IN THE ESCAPE OF THE PRISONER.",PRE-TRIAL SUSPENSION DAYS (22 day(s) ),charge
935823,1,GUILTY,WRONGFULLY FAILED TO FOLLOW A VALID ORDER IN REGARD TO REPORTING SICK WITH A NEW LINE OF DUTY INJURY DESPITE HAVING BEEN INSTRUCTED BY  A LIEUTENANT HER INJURY WAS NOT A LINE OF DUTY INJURY.,VACATION DAYS (20 day(s) ),charge
935823,1,GUILTY,"FAILED TO FOLLOW AN ORDER TO APPEAR AT THE WEEKEND DISTRICT SURGEON, TO WIT: SAID SERGEANT, HAVING BEEN ORDERED BY A CAPTAIN TO REPORT TO THE WEEKEND DISTRICT SURGEON.  INSTEAD SAID SERGEANT CALLED THE SICK DESK AND REQUESTED AN EXCUSAL FROM HER APPEARANCE, WITHOUT DISCLOSING ORDER FROM CAPTAIN.",VACATION DAYS (20 day(s) ),charge
935823,1,GUILTY,WRONGFULLY REQUESTED AND RECEIVED AUTHORIZATION FOR LINE OF DUTY INJURY MEDICAL TREATMENT WITHOUT DISLCOSING TO THE DEPARTMENT SURGEON THE FULL CIRCUMSTANCES SURROUNDING HER INJURY.,VACATION DAYS (20 day(s) ),charge
946789,1,GUILTY,WHILE OFF DUTY WRONGFULLY ENGAGED IN A PHYSICAL ALTERCATION WITH AN INDIVIDUAL KNOWN TO THE DEPARTMENT.,VACATION DAYS (25 day(s) ),charge
946789,1,GUILTY,FAILED TO REPORT FACTS TO DEPARTMENT OF SAID MEMBER'S INVOLVEMENT IN AN OFF DUTY POLICE INCIDENT.,VACATION DAYS (25 day(s) ),charge
946789,1,GUILTY,WHILE OFF DUTY DISCOURTEOUS TO AN INDIVIDUAL KNOWN TO THE DEPARTMENT.,VACATION DAYS (25 day(s) ),charge
947985,1,GUILTY,STOPPED A PERSON KNOWN TO THE DEPARTMENT WITHOUT SUFFICIENT LEGAL AUTHORITY.,VACATION DAYS (2 day(s) ),charge
